Location,Kharif,Rabi,Acres,Type,Method1,Method2,Method3,Credits
Madhya Pradesh,Pulses,Wheat,823683.33,Vertisols,Fertilizer Management,Residue Management,Crop Rotation,10941.08
Madhya Pradesh,Maize,Wheat,823683.33,Vertisols,Fertilizer Management,Residue Management,Crop Rotation,21882.17
Madhya Pradesh,Pulses,Wheat,823683.33,Vertisols,Fertilizer Management,Residue Management,Crop Rotation,21882.17
Madhya Pradesh,Maize,Wheat,823683.33,Vertisols,Fertilizer Management,Residue Management,Crop Rotation,81722.08
Madhya Pradesh,Pulses,Wheat,823683.33,Vertisols,Fertilizer Management,Residue Management,Crop Rotation,81722.08
Madhya Pradesh,Maize,Wheat,823683.33,Vertisols,Fertilizer Management,Residue Management,Crop Rotation,149599.8
Madhya Pradesh,Pulses,Wheat,823683.33,Vertisols,Fertilizer Management,Residue Management,Crop Rotation,149599.8
Madhya Pradesh,Maize,Wheat,823683.33,Vertisols,Reduced Tillage,Fertilizer Management,Irrigation Management,379577.5
Madhya Pradesh,Pulses,Wheat,823683.33,Vertisols,Reduced Tillage,Fertilizer Management,Irrigation Management,379577.5
Madhya Pradesh,Maize,Wheat,823683.33,Vertisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Madhya Pradesh,Pulses,Wheat,823683.33,Vertisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Madhya Pradesh,Maize,Wheat,823683.33,Vertisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Madhya Pradesh,Pulses,Wheat,823683.33,Vertisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Madhya Pradesh,Maize,Wheat,823683.33,Vertisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Madhya Pradesh,Pulses,Wheat,823683.33,Vertisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Madhya Pradesh,Maize,Wheat,823683.33,Vertisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Madhya Pradesh,Pulses,Wheat,823683.33,Vertisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Madhya Pradesh,Maize,Wheat,823683.33,Vertisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Madhya Pradesh,Pulses,Wheat,823683.33,Vertisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Madhya Pradesh,Maize,Wheat,823683.33,Vertisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Madhya Pradesh,Pulses,Wheat,823683.33,Vertisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Madhya Pradesh,Maize,Wheat,823683.33,Vertisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Madhya Pradesh,Pulses,Wheat,823683.33,Vertisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Madhya Pradesh,Maize,Wheat,823683.33,Vertisols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Madhya Pradesh,Pulses,Wheat,823683.33,Vertisols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Madhya Pradesh,Maize,Wheat,823683.33,Vertisols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Madhya Pradesh,Pulses,Wheat,823683.33,Vertisols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Madhya Pradesh,Maize,Wheat,823683.33,Vertisols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Madhya Pradesh,Pulses,Wheat,823683.33,Vertisols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Madhya Pradesh,Maize,Wheat,823683.33,Vertisols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Madhya Pradesh,Pulses,Wheat,823683.33,Vertisols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Madhya Pradesh,Maize,Wheat,823683.33,Vertisols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Madhya Pradesh,Pulses,Wheat,823683.33,Vertisols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Madhya Pradesh,Maize,Wheat,823683.33,Vertisols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Madhya Pradesh,Pulses,Wheat,823683.33,Vertisols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Madhya Pradesh,Maize,Wheat,823683.33,Vertisols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Madhya Pradesh,Pulses,Wheat,823683.33,Vertisols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Madhya Pradesh,Maize,Wheat,823683.33,Vertisols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Madhya Pradesh,Pulses,Wheat,823683.33,Vertisols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Orrisa,Rice,Green Manure Crop,4942100.0,Lixisols,Reduced Tillage,Irrigation Management,Fertilizer Management,238356.5
Orrisa,Rice,Wheat,4942100.0,Lixisols,Reduced Tillage,Irrigation Management,Fertilizer Management,1968814.0
Orrisa,Rice,Green Manure Crop,4942100.0,Lixisols,Reduced Tillage,Irrigation Management,Fertilizer Management,3281744.0
Orrisa,Rice,Wheat,4942100.0,Lixisols,Reduced Tillage,Irrigation Management,Fertilizer Management,3281744.0
Orrisa,Rice,Green Manure Crop,4942100.0,Lixisols,Reduced Tillage,Irrigation Management,Fertilizer Management,3281744.0
Orrisa,Rice,Wheat,4942100.0,Lixisols,Reduced Tillage,Irrigation Management,Fertilizer Management,3281744.0
Orrisa,Rice,Green Manure Crop,4942100.0,Lixisols,Reduced Tillage,Irrigation Management,Fertilizer Management,3281744.0
Orrisa,Rice,Wheat,4942100.0,Lixisols,Reduced Tillage,Irrigation Management,Fertilizer Management,3281744.0
Rajasthan,Bajra,No Crop,823683.33,Arenosols,Fertilizer Management,Residue Management,Crop Rotation,10941.08
Rajasthan,Jowar,No Crop,823683.33,Arenosols,Fertilizer Management,Residue Management,Crop Rotation,10941.08
Rajasthan,Pulses,No Crop,823683.33,Arenosols,Fertilizer Management,Residue Management,Crop Rotation,10941.08
Rajasthan,Bajra,No Crop,823683.33,Arenosols,Fertilizer Management,Residue Management,Crop Rotation,21882.17
Rajasthan,Jowar,No Crop,823683.33,Arenosols,Fertilizer Management,Residue Management,Crop Rotation,21882.17
Rajasthan,Pulses,No Crop,823683.33,Arenosols,Fertilizer Management,Residue Management,Crop Rotation,21882.17
Rajasthan,Bajra,No Crop,823683.33,Arenosols,Fertilizer Management,Residue Management,Crop Rotation,81722.08
Rajasthan,Jowar,No Crop,823683.33,Arenosols,Fertilizer Management,Residue Management,Crop Rotation,81722.08
Rajasthan,Pulses,No Crop,823683.33,Arenosols,Fertilizer Management,Residue Management,Crop Rotation,81722.08
Rajasthan,Bajra,No Crop,823683.33,Arenosols,Fertilizer Management,Residue Management,Crop Rotation,149599.8
Rajasthan,Jowar,No Crop,823683.33,Arenosols,Reduced Tillage,Fertilizer Management,Irrigation Management,149599.8
Rajasthan,Pulses,No Crop,823683.33,Arenosols,Reduced Tillage,Fertilizer Management,Irrigation Management,149599.8
Rajasthan,Bajra,No Crop,823683.33,Arenosols,Reduced Tillage,Fertilizer Management,Irrigation Management,379577.5
Rajasthan,Jowar,No Crop,823683.33,Arenosols,Reduced Tillage,Fertilizer Management,Irrigation Management,379577.5
Rajasthan,Pulses,No Crop,823683.33,Arenosols,Reduced Tillage,Fertilizer Management,Irrigation Management,379577.5
Rajasthan,Bajra,No Crop,823683.33,Arenosols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Rajasthan,Jowar,No Crop,823683.33,Arenosols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Rajasthan,Pulses,No Crop,823683.33,Arenosols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Rajasthan,Bajra,No Crop,823683.33,Arenosols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Rajasthan,Jowar,No Crop,823683.33,Arenosols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Rajasthan,Pulses,No Crop,823683.33,Arenosols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Rajasthan,Bajra,No Crop,823683.33,Arenosols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Rajasthan,Jowar,No Crop,823683.33,Arenosols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Rajasthan,Pulses,No Crop,823683.33,Arenosols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Rajasthan,Bajra,No Crop,823683.33,Arenosols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Rajasthan,Jowar,No Crop,823683.33,Arenosols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Rajasthan,Pulses,No Crop,823683.33,Arenosols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Rajasthan,Bajra,No Crop,823683.33,Arenosols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Rajasthan,Jowar,No Crop,823683.33,Arenosols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Rajasthan,Pulses,No Crop,823683.33,Arenosols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Rajasthan,Bajra,No Crop,823683.33,Arenosols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Rajasthan,Jowar,No Crop,823683.33,Arenosols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Rajasthan,Pulses,No Crop,823683.33,Arenosols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Rajasthan,Bajra,No Crop,823683.33,Arenosols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Rajasthan,Jowar,No Crop,823683.33,Arenosols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Rajasthan,Pulses,No Crop,823683.33,Arenosols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Rajasthan,Bajra,No Crop,823683.33,Arenosols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Rajasthan,Jowar,No Crop,823683.33,Arenosols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Rajasthan,Pulses,No Crop,823683.33,Arenosols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Rajasthan,Bajra,No Crop,823683.33,Arenosols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Rajasthan,Jowar,No Crop,823683.33,Arenosols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Rajasthan,Pulses,No Crop,823683.33,Arenosols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Rajasthan,Bajra,No Crop,823683.33,Arenosols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Rajasthan,Jowar,No Crop,823683.33,Arenosols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Rajasthan,Pulses,No Crop,823683.33,Arenosols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Rajasthan,Bajra,No Crop,823683.33,Arenosols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Rajasthan,Jowar,No Crop,823683.33,Arenosols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Rajasthan,Pulses,No Crop,823683.33,Arenosols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Rajasthan,Bajra,No Crop,823683.33,Arenosols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Rajasthan,Jowar,No Crop,823683.33,Arenosols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Rajasthan,Pulses,No Crop,823683.33,Arenosols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Rajasthan,Bajra,No Crop,823683.33,Arenosols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Rajasthan,Jowar,No Crop,823683.33,Arenosols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Rajasthan,Pulses,No Crop,823683.33,Arenosols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Rajasthan,Bajra,No Crop,823683.33,Arenosols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Rajasthan,Jowar,No Crop,823683.33,Arenosols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Rajasthan,Pulses,No Crop,823683.33,Arenosols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Rajasthan,Bajra,No Crop,823683.33,Arenosols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Rajasthan,Jowar,No Crop,823683.33,Arenosols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Rajasthan,Pulses,No Crop,823683.33,Arenosols,Irrigation Management,Reduced Tillage,Crop Rotation,518021.3
Telangana,Rice,Wheat,4942100.0,Luvisols,Reduced Tillage,Irrigation Management,Fertilizer Management,649481.0
Telangana,Rice,Green Manure Crop,4942100.0,Luvisols,Reduced Tillage,Irrigation Management,Fertilizer Management,1968814.0
Telangana,Rice,Wheat,4942100.0,Luvisols,Reduced Tillage,Irrigation Management,Fertilizer Management,3281744.0
Telangana,Rice,Green Manure Crop,4942100.0,Luvisols,Reduced Tillage,Irrigation Management,Fertilizer Management,3281744.0
Telangana,Rice,Wheat,4942100.0,Luvisols,Reduced Tillage,Irrigation Management,Fertilizer Management,3281744.0
Telangana,Rice,Green Manure Crop,4942100.0,Luvisols,Reduced Tillage,Irrigation Management,Fertilizer Management,3281744.0
Telangana,Rice,Wheat,4942100.0,Luvisols,Reduced Tillage,Irrigation Management,Fertilizer Management,3281744.0
Telangana,Rice,Green Manure Crop,4942100.0,Luvisols,Reduced Tillage,Irrigation Management,Fertilizer Management,3281744.0
Uttar Pradesh,Rice,Wheat,823683.33,Cambisols,Irrigation Management,Cover Crop,Agroforestry,10941.08
Uttar Pradesh,Sugarcane,Wheat,823683.33,Cambisols,Irrigation Management,Cover Crop,Agroforestry,10941.08
Uttar Pradesh,Maize,Wheat,823683.33,Cambisols,Irrigation Management,Cover Crop,Agroforestry,10941.08
Uttar Pradesh,Rice,Wheat,823683.33,Cambisols,Irrigation Management,Cover Crop,Agroforestry,10941.08
Uttar Pradesh,Pulses,Wheat,823683.33,Cambisols,Irrigation Management,Cover Crop,Agroforestry,10941.08
Uttar Pradesh,Rice,Wheat,823683.33,Cambisols,Fertilizer Management,Residue Management,Crop Rotation,21882.17
Uttar Pradesh,Sugarcane,Wheat,823683.33,Cambisols,Fertilizer Management,Residue Management,Crop Rotation,21882.17
Uttar Pradesh,Maize,Wheat,823683.33,Cambisols,Fertilizer Management,Residue Management,Crop Rotation,21882.17
Uttar Pradesh,Rice,Wheat,823683.33,Cambisols,Fertilizer Management,Residue Management,Crop Rotation,21882.17
Uttar Pradesh,Pulses,Wheat,823683.33,Cambisols,Fertilizer Management,Residue Management,Crop Rotation,21882.17
Uttar Pradesh,Rice,Wheat,823683.33,Cambisols,Fertilizer Management,Residue Management,Crop Rotation,81722.08
Uttar Pradesh,Sugarcane,Wheat,823683.33,Cambisols,Fertilizer Management,Residue Management,Crop Rotation,81722.08
Uttar Pradesh,Maize,Wheat,823683.33,Cambisols,Fertilizer Management,Residue Management,Crop Rotation,81722.08
Uttar Pradesh,Rice,Wheat,823683.33,Cambisols,Fertilizer Management,Residue Management,Crop Rotation,81722.08
Uttar Pradesh,Pulses,Wheat,823683.33,Cambisols,Fertilizer Management,Residue Management,Crop Rotation,81722.08
Uttar Pradesh,Rice,Wheat,823683.33,Cambisols,Fertilizer Management,Residue Management,Crop Rotation,149599.8
Uttar Pradesh,Sugarcane,Wheat,823683.33,Cambisols,Fertilizer Management,Residue Management,Crop Rotation,149599.8
Uttar Pradesh,Maize,Wheat,823683.33,Cambisols,Fertilizer Management,Residue Management,Crop Rotation,149599.8
Uttar Pradesh,Rice,Wheat,823683.33,Cambisols,Fertilizer Management,Residue Management,Crop Rotation,149599.8
Uttar Pradesh,Pulses,Wheat,823683.33,Cambisols,Fertilizer Management,Residue Management,Crop Rotation,149599.8
Uttar Pradesh,Rice,Wheat,823683.33,Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,379577.5
Uttar Pradesh,Sugarcane,Wheat,823683.33,Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,379577.5
Uttar Pradesh,Maize,Wheat,823683.33,Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,379577.5
Uttar Pradesh,Rice,Wheat,823683.33,Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,379577.5
Uttar Pradesh,Pulses,Wheat,823683.33,Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,379577.5
Uttar Pradesh,Rice,Wheat,823683.33,Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Uttar Pradesh,Sugarcane,Wheat,823683.33,Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Uttar Pradesh,Maize,Wheat,823683.33,Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Uttar Pradesh,Rice,Wheat,823683.33,Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Uttar Pradesh,Pulses,Wheat,823683.33,Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Uttar Pradesh,Rice,Wheat,823683.33,Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Uttar Pradesh,Sugarcane,Wheat,823683.33,Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Uttar Pradesh,Maize,Wheat,823683.33,Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Uttar Pradesh,Rice,Wheat,823683.33,Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Uttar Pradesh,Pulses,Wheat,823683.33,Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
Uttar Pradesh,Rice,Wheat,823683.33,Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,518021.3
